M,ef_construction,ef_search,build_time_ms,search_time_ms,avg_search_ms,recall_1,recall_10,score
12,100,50,1459,7,0.0700,0.010000,0.005000,0.4784
12,100,100,1681,13,0.1300,0.010000,0.005000,0.4702
12,100,200,1698,25,0.2500,0.010000,0.005000,0.4580
12,100,300,1622,28,0.2800,0.010000,0.005000,0.4558
12,100,400,1673,49,0.4900,0.010000,0.005000,0.4343
12,100,500,1746,43,0.4300,0.010000,0.005000,0.4395
12,150,50,2224,8,0.0800,0.010000,0.005000,0.4698
12,150,100,2323,12,0.1200,0.010000,0.005000,0.4648
12,150,200,2382,22,0.2200,0.010000,0.005000,0.4542
12,150,300,2307,28,0.2800,0.010000,0.005000,0.4489
12,150,400,2407,40,0.4000,0.010000,0.005000,0.4359
12,150,500,2512,48,0.4800,0.010000,0.005000,0.4269
12,200,50,2918,10,0.1000,0.010000,0.005000,0.4608
12,200,100,2838,19,0.1900,0.010000,0.005000,0.4526
12,200,200,2917,23,0.2300,0.010000,0.005000,0.4478
12,200,300,2747,35,0.3500,0.010000,0.005000,0.4375
12,200,400,3581,43,0.4300,0.010000,0.005000,0.4212
12,200,500,3277,48,0.4800,0.010000,0.005000,0.4192
12,300,50,3677,9,0.0900,0.010000,0.005000,0.4542
12,300,100,3559,13,0.1300,0.010000,0.005000,0.4514
12,300,200,3470,20,0.2000,0.010000,0.005000,0.4453
12,300,300,3483,27,0.2700,0.010000,0.005000,0.4382
12,300,400,3504,44,0.4400,0.010000,0.005000,0.4210
12,300,500,3583,43,0.4300,0.010000,0.005000,0.4212
16,100,50,2237,12,0.1200,0.010000,0.005000,0.4656
16,100,100,2211,18,0.1800,0.010000,0.005000,0.4599
16,100,200,2122,29,0.2900,0.010000,0.005000,0.4498
16,100,300,2123,37,0.3700,0.010000,0.005000,0.4418
16,100,400,2086,50,0.5000,0.010000,0.005000,0.4291
16,100,500,2093,53,0.5300,0.010000,0.005000,0.4261
16,150,50,2613,12,0.1200,0.010000,0.005000,0.4619
16,150,100,2546,15,0.1500,0.010000,0.005000,0.4595
16,150,200,2490,28,0.2800,0.010000,0.005000,0.4471
16,150,300,2524,35,0.3500,0.010000,0.005000,0.4398
16,150,400,2526,46,0.4600,0.010000,0.005000,0.4287
16,150,500,2457,48,0.4800,0.010000,0.005000,0.4274
16,200,50,3035,9,0.0900,0.010000,0.005000,0.4607
16,200,100,3022,16,0.1600,0.010000,0.005000,0.4538
16,200,200,2987,26,0.2600,0.010000,0.005000,0.4441
16,200,300,3038,34,0.3400,0.010000,0.005000,0.4356
16,200,400,3222,40,0.4000,0.010000,0.005000,0.4278
16,200,500,3068,49,0.4900,0.010000,0.005000,0.4203
16,300,50,4456,12,0.1200,0.010000,0.005000,0.4434
16,300,100,4880,33,0.3300,0.010000,0.005000,0.4182
16,300,200,5256,37,0.3700,0.010000,0.005000,0.4104
16,300,300,5726,42,0.4200,0.010000,0.005000,0.4007
16,300,400,4487,34,0.3400,0.010000,0.005000,0.4211
16,300,500,4212,46,0.4600,0.010000,0.005000,0.4119
20,100,50,2180,12,0.1200,0.010000,0.005000,0.4662
20,100,100,2475,22,0.2200,0.010000,0.005000,0.4532
20,100,200,2589,33,0.3300,0.010000,0.005000,0.4411
20,100,300,2379,39,0.3900,0.010000,0.005000,0.4372
20,100,400,2109,42,0.4200,0.010000,0.005000,0.4369
20,100,500,2282,56,0.5600,0.010000,0.005000,0.4212
20,150,50,2944,13,0.1300,0.010000,0.005000,0.4576
20,150,100,2975,23,0.2300,0.010000,0.005000,0.4472
20,150,200,2989,29,0.2900,0.010000,0.005000,0.4411
20,150,300,3085,39,0.3900,0.010000,0.005000,0.4302
20,150,400,2920,47,0.4700,0.010000,0.005000,0.4238
20,150,500,2978,59,0.5900,0.010000,0.005000,0.4112
20,200,50,3408,12,0.1200,0.010000,0.005000,0.4539
20,200,100,3382,18,0.1800,0.010000,0.005000,0.4482
20,200,200,3633,26,0.2600,0.010000,0.005000,0.4377
20,200,300,3515,38,0.3800,0.010000,0.005000,0.4268
20,200,400,3454,49,0.4900,0.010000,0.005000,0.4165
20,200,500,3453,57,0.5700,0.010000,0.005000,0.4085
20,300,50,4671,12,0.1200,0.010000,0.005000,0.4413
20,300,100,4483,17,0.1700,0.010000,0.005000,0.4382
20,300,200,4581,31,0.3100,0.010000,0.005000,0.4232
20,300,300,4802,42,0.4200,0.010000,0.005000,0.4100
20,300,400,4426,55,0.5500,0.010000,0.005000,0.4007
20,300,500,4472,57,0.5700,0.010000,0.005000,0.3983
24,100,50,2355,15,0.1500,0.010000,0.005000,0.4614
24,100,100,2407,18,0.1800,0.010000,0.005000,0.4579
24,100,200,2316,32,0.3200,0.010000,0.005000,0.4448
24,100,300,2329,38,0.3800,0.010000,0.005000,0.4387
24,100,400,2357,54,0.5400,0.010000,0.005000,0.4224
24,100,500,2593,61,0.6100,0.010000,0.005000,0.4131
24,150,50,3033,12,0.1200,0.010000,0.005000,0.4577
24,150,100,3122,18,0.1800,0.010000,0.005000,0.4508
24,150,200,3070,30,0.3000,0.010000,0.005000,0.4393
24,150,300,3063,41,0.4100,0.010000,0.005000,0.4284
24,150,400,3023,48,0.4800,0.010000,0.005000,0.4218
24,150,500,3219,65,0.6500,0.010000,0.005000,0.4028
24,200,50,3876,14,0.1400,0.010000,0.005000,0.4472
24,200,100,3969,21,0.2100,0.010000,0.005000,0.4393
24,200,200,3904,32,0.3200,0.010000,0.005000,0.4290
24,200,300,3862,46,0.4600,0.010000,0.005000,0.4154
24,200,400,3792,53,0.5300,0.010000,0.005000,0.4091
24,200,500,3886,71,0.7100,0.010000,0.005000,0.3901
24,300,50,4902,13,0.1300,0.010000,0.005000,0.4380
24,300,100,5396,29,0.2900,0.010000,0.005000,0.4170
24,300,200,6760,31,0.3100,0.010000,0.005000,0.4014
24,300,300,6685,64,0.6400,0.010000,0.005000,0.3692
24,300,400,6634,72,0.7200,0.010000,0.005000,0.3617
24,300,500,6329,90,0.9000,0.010000,0.005000,0.3467
